ticker,avg_daily_return
ICICIBANK.NS,0.00017670533382712096
MARUTI.NS,5.74342569410798e-05
HDFCBANK.NS,7.317967722123092e-06
INFY.NS,-1.0633723654236733e-05
SUNPHARMA.NS,-0.0001582129937054545
KOTAKBANK.NS,-0.00016460271745471082
TCS.NS,-0.00023674579581272964
HINDUNILVR.NS,-0.0003046692945747798
RELIANCE.NS,-0.00045179552749944637
ITC.NS,-0.0007273405487716002
CIPLA.NS,-0.0007814298753699431
WIPRO.NS,-0.0010168675194057637
ONGC.NS,-0.001146494575318599
TATASTEEL.NS,-0.001351624196294854
TATAMOTORS.NS,-0.0018180242578582845
