date,CIPLA.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,MARUTI.NS,ONGC.NS,RELIANCE.NS,SUNPHARMA.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,WIPRO.NS
2023-01-02,,,,,,,,,,,,,,,
2023-01-03,,,,,,,,,,,,,,,
2023-01-04,,,,,,,,,,,,,,,
2023-01-05,,,,,,,,,,,,,,,
2023-01-06,,,,,,,,,,,,,,,
2023-01-09,,,,,,,,,,,,,,,
2023-01-10,,,,,,,,,,,,,,,
2023-01-11,,,,,,,,,,,,,,,
2023-01-12,,,,,,,,,,,,,,,
2023-01-13,,,,,,,,,,,,,,,
2023-01-16,,,,,,,,,,,,,,,
2023-01-17,,,,,,,,,,,,,,,
2023-01-18,,,,,,,,,,,,,,,
2023-01-19,,,,,,,,,,,,,,,
2023-01-20,,,,,,,,,,,,,,,
2023-01-23,,,,,,,,,,,,,,,
2023-01-24,,,,,,,,,,,,,,,
2023-01-25,,,,,,,,,,,,,,,
2023-01-27,,,,,,,,,,,,,,,
2023-01-30,0.013413936729027449,0.01292931856342758,0.011645122631194495,0.013132093280522865,0.011546289467132731,0.008063533390919966,0.009875132952961259,0.009414766206782178,0.013228664902989903,0.01151443388752174,0.008344255270577099,0.014755386409268306,0.01573600162533563,0.010801978854077502,0.010300065322015333
2023-01-31,0.014137336897478805,0.013134327868401643,0.011524350959323661,0.013015288850936139,0.011583544242071324,0.008981181927689843,0.009917728731484216,0.009409630155620423,0.012065548700724944,0.011098142003461611,0.009540024125568895,0.015324683377559602,0.012251008268098492,0.012684194160755792,0.010479804914411504
2023-02-01,0.014497891476904261,0.012905566298938015,0.01177583683112272,0.013089656649819021,0.01167703654170275,0.01036359780497401,0.009660092367049717,0.010370962436940042,0.012179842790185897,0.011366737784932768,0.010054136643894578,0.016096325140825762,0.012760098269652558,0.01241013490385889,0.010206345401670603
2023-02-02,0.01441503976597141,0.012454237715983321,0.012802225869282518,0.01582803065169275,0.012007362123037279,0.01382342826348661,0.011680951397972096,0.010657056307011192,0.01180787018904846,0.0113732471325115,0.009922032287654543,0.015221817485403404,0.012013436101507034,0.012529547217640664,0.00997024327355013
2023-02-03,0.013956965298856485,0.013875761183140857,0.012292992747996617,0.014981456040840013,0.010946307116399868,0.013736505143424211,0.011833606420275446,0.010648134763411634,0.011844187902850078,0.011391339238943967,0.010911736503415512,0.015232206531555109,0.012033327265037773,0.01254560105293303,0.010154851061072327
2023-02-06,0.014181202179545745,0.013881623205009599,0.012263909833171409,0.014951825849671273,0.011198021824380521,0.013725082290164396,0.011439641808612507,0.010448568181643646,0.012228089288949223,0.011213548705567018,0.010817825285950657,0.015080994983642017,0.012673488441345648,0.010638654440972565,0.009649356313069285
2023-02-07,0.014088124517276219,0.013927534637359278,0.012673691064792702,0.014954963656916695,0.009785885312794439,0.015455902518147897,0.011850473365093867,0.011025635087201956,0.012243161349580726,0.009457512777906449,0.01171263911215924,0.015318848886039337,0.012723620435019638,0.008923620346307063,0.00956714710451451
2023-02-08,0.014146329885070941,0.012985340529713688,0.012615238600014338,0.014664556788421886,0.01019354706117566,0.015005282467778162,0.011856253609150737,0.010869362168958464,0.012312756125893132,0.010434804746109022,0.011820634065268013,0.013547127827217443,0.012411422438364858,0.009180635685836507,0.010073486543136757
2023-02-09,0.012753683958727616,0.012801230051462682,0.011751846969569279,0.014648862482547823,0.01052593254370257,0.014703977441993067,0.011868099412824873,0.010758574712601216,0.012010172827766367,0.010446400796161381,0.0112879553799221,0.013485939764390805,0.01246204892263208,0.009005981589252884,0.010092816192899038
